asin,title,img_url,product_url,stars,reviews,price,list_price,category_id,is_best_seller,bought_in_last_month
B09MV3KMPT,"ThisWorx Cordless Car Vacuum - Portable, Mini Handheld Vacuum w/Rechargeable Battery and 3 Attachments - High-Powered Vacuum Cleaner w/ 60w Motor",https://m.media-amazon.com/images/I/81-MJc-utgL._AC_UL320_.jpg,https://www.amazon.com/dp/B09MV3KMPT,4.0,292474,49.99,0.0,175,True,2000
B00DI895MU,"HDMI Cable 4K – 40ft – with A.I.S Shielding – Designed in Germany (Supports All HDMI Devices Like PS5, Xbox, Switch – 4K@60Hz, High Speed HDMI Cord with Ethernet, Black) – by CableDirect",https://m.media-amazon.com/images/I/81Tt3+NBcSL._AC_UL320_.jpg,https://www.amazon.com/dp/B00DI895MU,4.7,151664,26.99,30.99,69,False,0
B00DI88YCC,"HDMI Cable 4K – 20ft – with A.I.S Shielding – Designed in Germany (Supports All HDMI Devices Like PS5, Xbox, Switch – 4K@60Hz, High Speed HDMI Cord with Ethernet, Black) – by CableDirect",https://m.media-amazon.com/images/I/81Tt3+NBcSL._AC_UL320_.jpg,https://www.amazon.com/dp/B00DI88YCC,4.7,151664,14.99,18.99,69,False,0
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle for Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3, 2.4GHz Only",https://m.media-amazon.com/images/I/51iQFttRP9L._AC_UL320_.jpg,https://www.amazon.com/dp/B008IFXQFU,4.4,105295,9.99,0.0,69,False,0
B075XLWML4,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,https://m.media-amazon.com/images/I/61NcquKe00L._AC_UL320_.jpg,https://www.amazon.com/dp/B075XLWML4,4.7,125430,59.0,0.0,69,False,0
B07WVFCVJN,"Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV",https://m.media-amazon.com/images/I/71hx9HgKA2L._AC_UL320_.jpg,https://www.amazon.com/dp/B07WVFCVJN,4.7,177760,0.0,0.0,69,False,0
B003EM8008,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Dynamic Crystal-Clear Sound and Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops, No Mic - RP-HJE120-K (Black)",https://m.media-amazon.com/images/I/51dvHj0+rzL._AC_UL320_.jpg,https://www.amazon.com/dp/B003EM8008,4.3,136935,9.22,9.99,71,False,0
B07SJR6HL3,"Soundcore Anker Life P2 True Wireless Earbuds - Clear Sound, 40H Playtime, IPX7 Waterproof, Earpods for Phone Calls, Daily Use, Listening to Music, Work, Home Office",https://m.media-amazon.com/images/I/61a3VAbtpQL._AC_UL320_.jpg,https://www.amazon.com/dp/B07SJR6HL3,4.2,118833,31.98,45.99,71,False,0
B09TVVGXWS,"OnePlus Bullets Wireless Z2 Bluetooth 5.0 in Ear Earphones, Bombastic Bass – 12.4 mm Drivers, 30 Hrs Battery Life (Magico Black)",https://m.media-amazon.com/images/I/51UhwaQXCpL._AC_UL320_.jpg,https://www.amazon.com/dp/B09TVVGXWS,4.2,126993,47.5,51.5,71,False,0
B09N3ZNHTY,"BOAT Airdopes 141 Bluetooth Truly Wireless in Ear Headphones with 42H Playtime,Low Latency Mode for Gaming, ENx Tech, IWP, IPX4 Water Resistance, Smooth Touch Controls (Bold Black)",https://m.media-amazon.com/images/I/61KNJav3S9L._AC_UL320_.jpg,https://www.amazon.com/dp/B09N3ZNHTY,3.8,174524,54.87,0.0,71,False,0
B01H6GUCCQ,"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",https://m.media-amazon.com/images/I/61CGHv6kmWL._AC_UY218_.jpg,https://www.amazon.com/dp/B01H6GUCCQ,4.3,102448,17.59,39.99,253,True,0
B01LWVX2RG,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,https://m.media-amazon.com/images/I/61IG46p-yHL._AC_UY218_.jpg,https://www.amazon.com/dp/B01LWVX2RG,4.7,149155,58.99,0.0,253,True,4000
081298840X,When Breath Becomes Air,https://m.media-amazon.com/images/I/717KRq4xxxL._AC_UY218_.jpg,https://www.amazon.com/dp/081298840X,4.7,100512,19.23,26.0,253,False,0
B0C79XTWWM,"Pharmedoc Pregnancy Pillows, U-Shape Full Body Pillow – Cooling Cover Grey – Pregnancy Pillows for Sleeping – Body Pillows for Adults, Maternity Pillow and Pregnancy Must Haves",https://m.media-amazon.com/images/I/81Y1et5ipcL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C79XTWWM,4.3,122450,44.95,0.0,31,True,10000
B071KW9GTT,"Finishing Touch Flawless Women's Painless Hair Remover , White/Rose Gold",https://m.media-amazon.com/images/I/61Orj8GcsYL._AC_UL320_.jpg,https://www.amazon.com/dp/B071KW9GTT,4.4,106113,14.99,19.88,53,False,20000
B07KKXQNMY,"Schick Hydro Silk Touch-Up Exfoliating Dermaplaning Tool, Face & Eyebrow Razor with Precision Cover- 9 Count | Dermaplaning Razor For Women",https://m.media-amazon.com/images/I/71GtXpgt1xL._AC_UL320_.jpg,https://www.amazon.com/dp/B07KKXQNMY,4.6,183726,16.49,0.0,53,True,10000
B08N5NQ869,"Ring Video Doorbell - 1080p HD video, improved motion detection, easy installation – Satin Nickel",https://m.media-amazon.com/images/I/71vtXgJBagL._AC_UY218_.jpg,https://www.amazon.com/dp/B08N5NQ869,4.6,173248,99.99,0.0,190,False,0
B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",https://m.media-amazon.com/images/I/31k4JysPQ5L._AC_UY218_.jpg,https://www.amazon.com/dp/B07X6C9RMF,4.4,260659,34.99,0.0,190,True,0
B086DL32R3,"Blink Outdoor (3rd Gen) - wireless, weather-resistant HD security camera, two-year battery life, motion detection, set up in minutes – 2 camera system",https://m.media-amazon.com/images/I/41lLBXd-5YL._AC_UY218_.jpg,https://www.amazon.com/dp/B086DL32R3,4.4,157255,179.99,0.0,190,True,0
B08SGC46M9,"Blink Video Doorbell + Sync Module 2 | Two-year battery life, Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",https://m.media-amazon.com/images/I/41mAlRlMUxL._AC_UY218_.jpg,https://www.amazon.com/dp/B08SGC46M9,4.3,112742,94.98,0.0,190,False,0
B01N3ASPNV,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),https://m.media-amazon.com/images/I/61c5QrQGeEL._AC_UY218_.jpg,https://www.amazon.com/dp/B01N3ASPNV,4.7,110857,8.91,13.99,255,False,0
B01IW9TM5O,Born a Crime: Stories from a South African Childhood,https://m.media-amazon.com/images/I/91RTxlqiz4L._AC_UY218_.jpg,https://www.amazon.com/dp/B01IW9TM5O,4.7,103595,0.0,21.7,255,False,0
